"ID" "IDproblem" "Language" "Gender" "Item" "Y" "RT" "problem" "Y.sub" "RT.sub" "Y.tot" "RT.tot"
"399" 19 196 "NL" "M" 21 NA NA 6 NA NA 7 653
"400" 20 201 "NL" "M" 1 0 80 1 1 164 12 676
"401" 20 201 "NL" "M" 2 1 39 1 1 164 12 676
"402" 20 201 "NL" "M" 3 0 20 1 1 164 12 676
"403" 20 201 "NL" "M" 4 0 25 1 1 164 12 676
"404" 20 202 "NL" "M" 5 0 30 2 3 99 12 676
"405" 20 202 "NL" "M" 6 1 25 2 3 99 12 676
"406" 20 202 "NL" "M" 7 1 24 2 3 99 12 676
"407" 20 202 "NL" "M" 8 1 20 2 3 99 12 676
"408" 20 203 "NL" "M" 9 1 19 3 2 71 12 676
"409" 20 203 "NL" "M" 10 1 23 3 2 71 12 676
"410" 20 203 "NL" "M" 11 0 22 3 2 71 12 676
"411" 20 203 "NL" "M" 12 0 7 3 2 71 12 676
"412" 20 204 "NL" "M" 13 0 60 4 3 108 12 676
"413" 20 204 "NL" "M" 14 1 17 4 3 108 12 676
"414" 20 204 "NL" "M" 15 1 10 4 3 108 12 676
"415" 20 204 "NL" "M" 16 1 21 4 3 108 12 676
"416" 20 205 "NL" "M" 17 1 175 5 3 234 12 676
"417" 20 205 "NL" "M" 18 1 14 5 3 234 12 676
"418" 20 205 "NL" "M" 19 0 13 5 3 234 12 676
"419" 20 205 "NL" "M" 20 1 32 5 3 234 12 676
"420" 20 206 "NL" "M" 21 NA NA 6 NA NA 12 676
